merchant_id,category,city,years_active,credit_tier,monthly_revenue,revenue_growth_rate,revenue_consistency,refund_rate,chargeback_rate,settlement_velocity_days,customer_repeat_rate,payment_diversity_score,peak_season_ratio,failed_payment_rate,avg_transaction_value,transaction_volume_monthly,dispute_resolution_rate,late_settlement_frequency,revenue_concentration_risk,credit_score,score_trajectory,projected_score_3months,recommendation_eligible,recommendation_max_amount,recommendation_interest_rate,recommendation_tenure_months,recommendation_tier
MID_0011,Travel,Pune,2.0,average,57486.37,0.0289,0.7311,0.1277,0.0114,2.8472,0.227,0.3808,1.2313,0.1637,540.5418,232.72,0.6438,0.1513,0.3519,722,"[655, 673, 681, 672, 662, 722]",734,True,1000000,15.0,18.0,Standard
MID_0012,Auto Parts,Pune,2.1,good,118353.24,0.1214,0.8615,0.0503,0.0112,1.3091,0.486,0.7229,1.5881,0.1068,2703.5405,117.3505,0.8326,0.0666,0.3862,801,"[728, 745, 734, 754, 773, 801]",840,True,2000000,12.5,24.0,Premium
MID_0013,Pharmacy,Chennai,6.7,poor,21107.82,-0.0142,0.4416,0.1562,0.0221,5.32,0.1221,0.3121,1.0699,0.2981,331.8049,17.8981,0.5517,0.247,0.6277,613,"[556, 572, 575, 599, 589, 613]",635,True,400000,18.5,12.0,Basic
MID_0014,Grocery,Mumbai,5.8,excellent,739886.55,0.1577,0.9435,0.0323,0.0057,1.3642,0.4675,0.8661,1.5311,0.0326,4361.6642,1495.5577,0.889,0.0224,0.1613,820,"[794, 817, 829, 850, 860, 820]",865,True,2000000,12.5,24.0,Premium
MID_0015,Food Delivery,Mumbai,2.8,good,317382.68,0.0989,0.7716,0.0521,0.0118,2.0223,0.4587,0.742,1.468,0.0961,1209.466,564.6977,0.8115,0.0475,0.3904,770,"[693, 679, 704, 713, 729, 770]",792,True,1000000,15.0,18.0,Standard
MID_0016,Travel,Kolkata,4.2,good,312571.98,0.0207,0.8402,0.0685,0.0061,1.8503,0.3352,0.7416,1.359,0.0535,1122.9957,693.8354,0.7822,0.1041,0.3335,774,"[718, 727, 741, 746, 764, 774]",794,True,1000000,15.0,18.0,Standard
MID_0017,Travel,Ahmedabad,3.9,poor,50969.03,-0.0639,0.5289,0.183,0.0272,4.3196,0.1656,0.2516,0.984,0.305,156.4044,30.8372,0.4381,0.2275,0.5471,620,"[560, 578, 578, 594, 617, 620]",654,True,400000,18.5,12.0,Basic
MID_0018,Gym,Mumbai,7.6,good,218542.98,0.1359,0.8537,0.0569,0.0123,2.5997,0.4796,0.6476,1.2365,0.084,1472.143,568.2115,0.8437,0.0979,0.3681,795,"[764, 773, 784, 773, 775, 795]",816,True,1000000,15.0,18.0,Standard
MID_0019,Restaurant,Chennai,3.3,good,197869.72,0.119,0.7807,0.0676,0.0133,1.5045,0.3164,0.5539,1.3697,0.12,1374.9009,555.1009,0.8406,0.0921,0.3508,751,"[721, 711, 723, 730, 724, 751]",784,True,1000000,15.0,18.0,Standard
MID_0020,Electronics,Surat,5.1,poor,14737.88,0.0065,0.5719,0.1341,0.0208,3.9359,0.1613,0.4108,0.9992,0.2801,153.1975,87.5145,0.4943,0.2183,0.6699,656,"[653, 669, 668, 670, 670, 656]",687,True,400000,18.5,12.0,Basic
MID_0021,Restaurant,Kolkata,6.7,excellent,815496.74,0.1771,0.9577,0.0312,0.004,1.7338,0.6914,0.7675,1.8657,0.0415,2830.6895,984.0341,0.945,0.0207,0.2278,826,"[748, 751, 761, 761, 747, 826]",847,True,2000000,12.5,24.0,Premium
MID_0022,Gym,Hyderabad,3.2,good,166898.22,0.0975,0.8608,0.0578,0.0102,1.3821,0.3483,0.6313,1.3776,0.0668,1690.2328,598.2897,0.7807,0.0414,0.2588,771,"[711, 718, 717, 742, 749, 771]",810,True,1000000,15.0,18.0,Standard
MID_0023,Grocery,Chennai,2.4,excellent,253788.34,0.0739,0.9197,0.0329,0.0023,1.2164,0.571,0.8811,1.9836,0.041,1988.5946,380.947,0.8752,0.0191,0.1269,828,"[816, 823, 836, 826, 845, 828]",838,True,2000000,12.5,24.0,Premium
MID_0024,SaaS,Chennai,4.0,average,53010.31,-0.0149,0.7382,0.0982,0.0223,2.8014,0.1926,0.5185,1.0161,0.1149,931.6915,118.9972,0.719,0.1142,0.5029,718,"[690, 693, 696, 715, 740, 718]",731,True,1000000,15.0,18.0,Standard
MID_0025,SaaS,Delhi,7.6,good,154322.1,0.1059,0.7451,0.0387,0.0058,1.0054,0.3901,0.6688,1.2456,0.0662,2267.3896,592.0913,0.7817,0.095,0.3848,779,"[742, 744, 750, 761, 783, 779]",793,True,1000000,15.0,18.0,Standard
MID_0026,Restaurant,Bangalore,6.4,average,132503.81,0.0721,0.6378,0.0975,0.0146,2.805,0.2263,0.4988,1.1313,0.1598,1356.2498,230.9788,0.6526,0.1031,0.3958,724,"[655, 670, 688, 696, 712, 724]",767,True,1000000,15.0,18.0,Standard
MID_0027,Freelancer,Ahmedabad,7.4,good,259372.59,0.1025,0.7987,0.0346,0.0085,1.6666,0.434,0.7215,1.2649,0.0986,1220.5445,761.6355,0.8464,0.084,0.291,779,"[702, 708, 732, 743, 750, 779]",801,True,1000000,15.0,18.0,Standard
MID_0028,EdTech,Pune,5.2,average,87581.24,-0.0148,0.6034,0.0705,0.0143,3.7617,0.2624,0.3864,1.189,0.1799,1122.7177,120.795,0.5523,0.149,0.3949,677,"[611, 602, 625, 621, 634, 677]",717,True,400000,18.5,12.0,Basic
MID_0029,Gym,Hyderabad,3.9,excellent,289903.73,0.1699,0.947,0.0141,0.0015,1.7727,0.6636,0.785,1.8514,0.0307,810.7741,1506.8918,0.9589,0.0332,0.199,839,"[788, 804, 804, 826, 846, 839]",864,True,2000000,12.5,24.0,Premium
MID_0030,SaaS,Kolkata,2.3,poor,10312.3,-0.0032,0.5122,0.2255,0.0316,4.9911,0.1785,0.4158,1.0238,0.1852,451.6038,76.9689,0.55,0.3574,0.5969,634,"[572, 583, 574, 578, 602, 634]",669,True,400000,18.5,12.0,Basic
MID_0031,Freelancer,Delhi,6.9,poor,55826.53,-0.0506,0.4228,0.2134,0.0428,5.6171,0.0843,0.2151,1.0578,0.3089,798.1981,93.4105,0.4498,0.2177,0.6394,587,"[546, 533, 550, 547, 547, 587]",630,True,100000,24.0,6.0,Micro
MID_0032,Salon,Surat,5.6,good,145712.1,0.0992,0.7812,0.0642,0.01,2.1663,0.3464,0.6776,1.3298,0.0967,2747.2713,425.6773,0.7518,0.0837,0.2148,782,"[768, 780, 783, 781, 805, 782]",798,True,1000000,15.0,18.0,Standard
MID_0033,Clothing,Kolkata,4.8,average,145599.47,0.0095,0.7456,0.1127,0.0141,3.1319,0.2966,0.5438,1.0147,0.1606,845.7455,275.0804,0.5987,0.1959,0.4714,716,"[671, 685, 696, 715, 725, 716]",728,True,1000000,15.0,18.0,Standard
MID_0034,Grocery,Ahmedabad,0.8,good,129285.0,0.1383,0.7723,0.0508,0.007,2.573,0.4753,0.6232,1.3509,0.0691,911.3611,739.8343,0.87,0.1174,0.259,791,"[731, 746, 740, 752, 764, 791]",836,True,1000000,15.0,18.0,Standard
MID_0035,Pharmacy,Delhi,6.4,excellent,524616.8,0.141,0.9375,0.0302,0.0051,1.8224,0.6851,0.7271,1.4637,0.021,4513.7863,1210.5333,0.969,0.0189,0.1095,849,"[812, 803, 826, 823, 828, 849]",893,True,2000000,12.5,24.0,Premium
MID_0036,Electronics,Kolkata,3.9,average,111537.19,0.0746,0.6338,0.1194,0.0123,2.8298,0.1968,0.4877,1.1224,0.1952,242.5312,136.3378,0.6254,0.2141,0.5211,705,"[676, 676, 677, 669, 659, 705]",744,True,1000000,15.0,18.0,Standard
MID_0037,Retail,Hyderabad,5.3,average,30711.7,0.0587,0.5987,0.0701,0.0185,2.1372,0.3101,0.4256,1.0648,0.187,627.1274,78.3641,0.7031,0.1003,0.5217,699,"[656, 667, 653, 639, 656, 699]",729,True,400000,18.5,12.0,Basic
MID_0038,Restaurant,Bangalore,2.5,excellent,457418.52,0.0727,0.8583,0.0234,0.0035,1.5937,0.563,0.7554,1.7306,0.0491,4616.7571,1386.0255,0.8892,0.0357,0.1047,824,"[768, 781, 784, 805, 803, 824]",842,True,2000000,12.5,24.0,Premium
MID_0039,Grocery,Surat,5.2,average,68508.72,0.0795,0.6561,0.0963,0.0191,2.1984,0.2993,0.5676,1.1953,0.1769,1137.0919,95.906,0.6268,0.1274,0.4178,716,"[692, 704, 704, 695, 717, 716]",731,True,1000000,15.0,18.0,Standard
MID_0040,Retail,Kolkata,1.2,poor,47904.17,-0.0277,0.4849,0.193,0.0299,3.3667,0.1224,0.3464,1.0876,0.3015,604.7425,116.6819,0.4881,0.2633,0.6271,632,"[588, 607, 606, 622, 630, 632]",677,True,400000,18.5,12.0,Basic
MID_0041,Healthcare,Surat,5.1,average,34455.85,0.0729,0.7159,0.0814,0.0127,3.4054,0.2325,0.4548,1.0018,0.187,936.2174,144.2039,0.5741,0.176,0.3561,702,"[655, 655, 669, 685, 693, 702]",715,True,1000000,15.0,18.0,Standard
MID_0042,Electronics,Bangalore,6.2,excellent,188565.32,0.1386,0.9051,0.0282,0.0039,1.2156,0.5781,0.7863,1.3776,0.0471,3291.1639,1148.4814,0.8901,0.0188,0.2477,815,"[754, 770, 766, 756, 761, 815]",833,True,2000000,12.5,24.0,Premium
MID_0043,Salon,Jaipur,5.8,average,136270.13,0.0606,0.5644,0.1289,0.0106,2.0375,0.3366,0.5697,1.1727,0.1573,1122.3487,148.6004,0.5696,0.1025,0.415,719,"[671, 659, 678, 673, 681, 719]",754,True,1000000,15.0,18.0,Standard
MID_0044,Food Delivery,Chennai,6.1,good,306942.73,0.0299,0.8213,0.0565,0.0069,2.5525,0.3702,0.7416,1.4227,0.0603,757.0113,279.1778,0.7312,0.0522,0.3518,781,"[727, 734, 743, 755, 775, 781]",811,True,1000000,15.0,18.0,Standard
MID_0045,Food Delivery,Pune,1.6,excellent,441236.82,0.1106,0.8857,0.0117,0.0046,1.3104,0.563,0.7142,1.8822,0.0231,4429.8501,1739.5281,0.93,0.0303,0.1694,829,"[758, 776, 787, 785, 789, 829]",842,True,2000000,12.5,24.0,Premium
MID_0046,Gym,Delhi,6.6,poor,57520.92,-0.089,0.4986,0.1251,0.0412,5.973,0.1429,0.3342,0.991,0.3085,371.1916,96.3188,0.5061,0.2094,0.6388,605,"[552, 547, 566, 590, 599, 605]",620,True,400000,18.5,12.0,Basic
MID_0047,SaaS,Bangalore,7.4,good,290331.29,0.1061,0.7406,0.0654,0.0058,2.1178,0.4287,0.6157,1.1639,0.0992,2867.7716,798.0149,0.8642,0.0475,0.3341,759,"[744, 742, 758, 751, 776, 759]",787,True,1000000,15.0,18.0,Standard
MID_0048,Food Delivery,Delhi,4.3,average,127550.99,0.0327,0.6824,0.1301,0.0193,3.1945,0.2062,0.4198,1.2079,0.1625,1373.4528,227.5076,0.5574,0.1437,0.4939,694,"[645, 640, 634, 658, 674, 694]",716,True,400000,18.5,12.0,Basic
MID_0049,Pharmacy,Surat,7.9,average,66499.04,0.0182,0.6555,0.1373,0.0223,3.6025,0.2035,0.435,1.1924,0.1874,920.903,66.6733,0.6938,0.2021,0.407,683,"[600, 602, 625, 619, 622, 683]",694,True,400000,18.5,12.0,Basic
MID_0050,Salon,Mumbai,3.5,good,216792.63,0.0306,0.7559,0.0459,0.006,2.4294,0.3671,0.5792,1.1192,0.1142,1681.1373,681.7773,0.8366,0.0775,0.3231,745,"[703, 726, 735, 737, 753, 745]",762,True,1000000,15.0,18.0,Standard
MID_0051,Restaurant,Hyderabad,3.6,poor,29572.34,-0.0856,0.5582,0.1976,0.0205,4.5461,0.109,0.2316,1.0073,0.2661,268.395,58.7396,0.5028,0.2154,0.7144,626,"[600, 607, 608, 612, 622, 626]",652,True,400000,18.5,12.0,Basic
MID_0052,Travel,Mumbai,3.2,excellent,317334.71,0.1814,0.8635,0.0275,0.0063,1.1334,0.5381,0.7846,1.75,0.0532,3675.6668,1965.4745,0.9122,0.0173,0.1202,838,"[809, 825, 846, 844, 841, 838]",882,True,2000000,12.5,24.0,Premium
MID_0053,Gym,Chennai,0.8,average,61932.09,0.0662,0.5596,0.1125,0.0141,3.5987,0.2543,0.468,1.1319,0.1956,640.7476,88.5725,0.6677,0.1441,0.5095,683,"[640, 665, 657, 654, 643, 683]",711,True,400000,18.5,12.0,Basic
MID_0054,Grocery,Ahmedabad,5.0,average,106326.27,0.0152,0.5585,0.1296,0.0153,3.9963,0.2267,0.5956,1.2844,0.1075,1028.7663,134.4609,0.6862,0.1815,0.5406,699,"[619, 606, 622, 622, 622, 699]",718,True,400000,18.5,12.0,Basic
MID_0055,Freelancer,Ahmedabad,7.6,good,313064.92,0.0946,0.8047,0.0499,0.0115,1.4992,0.3227,0.6971,1.3495,0.0771,1904.1818,283.2437,0.7469,0.0757,0.3993,779,"[719, 739, 742, 763, 765, 779]",809,True,1000000,15.0,18.0,Standard
MID_0056,Freelancer,Pune,5.8,average,69854.7,0.01,0.5815,0.1168,0.0205,2.3482,0.2415,0.4293,1.2955,0.1792,507.757,168.4457,0.6114,0.1687,0.4435,679,"[594, 595, 608, 612, 614, 679]",693,True,400000,18.5,12.0,Basic
MID_0057,Electronics,Pune,5.3,average,108863.34,0.0145,0.7256,0.1224,0.0196,2.3639,0.3443,0.4752,1.2732,0.1055,361.4095,79.784,0.578,0.1387,0.4919,726,"[671, 666, 677, 684, 674, 726]",770,True,1000000,15.0,18.0,Standard
MID_0058,Retail,Jaipur,5.3,average,92186.39,-0.0029,0.6749,0.1322,0.0151,3.8479,0.187,0.57,1.0244,0.1949,1202.3291,108.8105,0.5858,0.1687,0.4736,704,"[662, 659, 654, 671, 672, 704]",717,True,1000000,15.0,18.0,Standard
MID_0059,Electronics,Ahmedabad,3.6,average,75870.07,-0.0056,0.7223,0.0855,0.0248,2.6907,0.2478,0.5473,1.1545,0.1106,514.2592,71.8557,0.6264,0.1169,0.3601,723,"[701, 723, 740, 762, 776, 723]",743,True,1000000,15.0,18.0,Standard
MID_0060,Gym,Jaipur,4.0,poor,32587.14,-0.0883,0.4404,0.1794,0.0272,4.75,0.0858,0.2619,1.0494,0.298,570.7644,45.0036,0.3519,0.2193,0.5295,602,"[545, 532, 539, 539, 535, 602]",640,True,400000,18.5,12.0,Basic
MID_0061,Healthcare,Jaipur,2.6,bad,17527.71,-0.2227,0.3938,0.2985,0.0877,6.0345,0.0951,0.2083,0.7597,0.392,225.0273,7.0387,0.1815,0.4499,0.7684,502,"[449, 459, 450, 475, 489, 502]",533,True,100000,24.0,6.0,Micro
MID_0062,EdTech,Jaipur,4.5,poor,24424.73,0.006,0.4347,0.2076,0.0494,4.7511,0.1756,0.3596,1.072,0.1837,432.2131,116.5424,0.5301,0.3397,0.6271,617,"[597, 607, 625, 616, 629, 617]",634,True,400000,18.5,12.0,Basic
MID_0063,Clothing,Mumbai,3.8,average,79976.88,0.0004,0.6504,0.1089,0.0171,3.6968,0.3037,0.5353,1.1556,0.1561,1497.5597,164.3765,0.6141,0.2148,0.4419,702,"[661, 673, 691, 686, 690, 702]",729,True,1000000,15.0,18.0,Standard
MID_0064,EdTech,Chennai,2.2,bad,9276.23,-0.1835,0.2018,0.3762,0.059,6.0928,0.0947,0.2152,0.782,0.3068,286.8178,22.0862,0.3754,0.5955,0.8887,502,"[478, 477, 480, 475, 479, 502]",546,True,100000,24.0,6.0,Micro
MID_0065,Grocery,Jaipur,5.7,excellent,588486.13,0.1674,0.8815,0.0301,0.0047,1.6379,0.4631,0.8033,1.8022,0.024,4037.2174,209.3266,0.9215,0.0472,0.161,831,"[775, 799, 797, 808, 829, 831]",855,True,2000000,12.5,24.0,Premium
MID_0066,EdTech,Mumbai,7.3,good,390671.95,0.0429,0.8671,0.0799,0.009,1.9908,0.4873,0.7424,1.563,0.1114,523.1679,497.5733,0.7193,0.1186,0.2569,778,"[751, 770, 774, 766, 756, 778]",817,True,1000000,15.0,18.0,Standard
MID_0067,Freelancer,Chennai,5.9,excellent,362246.86,0.109,0.9377,0.0158,0.0053,1.6387,0.5514,0.8069,1.5295,0.036,1200.6174,1967.0333,0.9121,0.0474,0.101,824,"[786, 794, 802, 798, 797, 824]",841,True,2000000,12.5,24.0,Premium
MID_0068,Gym,Chennai,1.7,average,146569.19,0.0688,0.704,0.1152,0.0196,3.8813,0.2425,0.4286,1.2872,0.1478,791.4723,297.0979,0.6135,0.1842,0.5326,706,"[652, 664, 673, 689, 695, 706]",739,True,1000000,15.0,18.0,Standard
MID_0069,Retail,Surat,1.3,poor,55467.13,-0.0737,0.4734,0.1414,0.0456,4.3255,0.1616,0.3577,1.0222,0.3058,411.8379,20.8418,0.3803,0.2748,0.6241,611,"[558, 554, 539, 532, 520, 611]",625,True,400000,18.5,12.0,Basic
MID_0070,EdTech,Mumbai,7.5,excellent,761713.88,0.0563,0.9032,0.0331,0.0064,1.9783,0.6115,0.8051,1.995,0.0353,4452.4052,1832.1812,0.8988,0.0373,0.1993,820,"[771, 778, 784, 798, 792, 820]",831,True,2000000,12.5,24.0,Premium
MID_0071,Grocery,Ahmedabad,5.6,average,86829.56,0.0623,0.5995,0.0877,0.0141,3.8748,0.3033,0.4048,1.2428,0.1419,1195.8695,269.7767,0.5527,0.1247,0.3702,704,"[629, 643, 644, 639, 633, 704]",717,True,1000000,15.0,18.0,Standard
MID_0072,Electronics,Jaipur,8.0,good,383921.92,0.0949,0.8124,0.0686,0.0132,1.4738,0.4753,0.7471,1.3606,0.0789,1187.8848,489.7027,0.8065,0.0988,0.235,786,"[762, 773, 773, 779, 792, 786]",815,True,1000000,15.0,18.0,Standard
MID_0073,Salon,Bangalore,6.2,average,136661.3,0.0101,0.6915,0.1245,0.0237,3.1248,0.3445,0.5026,1.0402,0.1243,464.3378,208.1435,0.7068,0.2017,0.3685,702,"[678, 687, 707, 699, 715, 702]",747,True,1000000,15.0,18.0,Standard
MID_0074,Clothing,Ahmedabad,2.1,bad,9186.85,-0.0409,0.203,0.2475,0.0845,8.4813,0.0803,0.2355,0.9087,0.4348,188.8212,15.7699,0.224,0.4349,0.7666,489,"[468, 471, 488, 502, 518, 489]",512,False,0,,,Ineligible
MID_0075,Pharmacy,Pune,3.6,average,60774.07,-0.0054,0.6022,0.1348,0.0187,2.8352,0.2059,0.4526,1.114,0.1833,849.0919,210.1981,0.6664,0.1309,0.5143,693,"[635, 652, 644, 658, 662, 693]",737,True,400000,18.5,12.0,Basic
MID_0076,Freelancer,Mumbai,4.4,poor,10945.83,0.0063,0.3612,0.1208,0.0241,4.8921,0.0882,0.2332,0.9547,0.2438,142.3151,81.9615,0.5648,0.3643,0.645,619,"[560, 574, 580, 577, 582, 619]",656,True,400000,18.5,12.0,Basic
MID_0077,Healthcare,Bangalore,1.3,excellent,257033.2,0.0884,0.9184,0.0345,0.0029,1.3969,0.5433,0.8015,1.6955,0.0596,1748.6005,1431.2749,0.9602,0.0361,0.2287,809,"[773, 761, 746, 738, 743, 809]",840,True,2000000,12.5,24.0,Premium
MID_0078,SaaS,Delhi,7.2,bad,7658.41,-0.0427,0.3231,0.3417,0.0563,9.545,0.0748,0.1277,0.8629,0.4248,112.7741,43.2692,0.1536,0.4121,0.686,518,"[439, 447, 454, 473, 486, 518]",552,True,100000,24.0,6.0,Micro
MID_0079,Healthcare,Bangalore,6.4,average,39745.77,0.0545,0.6192,0.0678,0.0135,2.152,0.2829,0.5151,1.1787,0.1969,624.2896,204.872,0.6832,0.1541,0.3956,714,"[691, 691, 707, 704, 699, 714]",741,True,1000000,15.0,18.0,Standard
MID_0080,Electronics,Kolkata,5.8,average,120621.6,0.0117,0.5713,0.0604,0.0146,2.7198,0.2259,0.4092,1.0562,0.1449,921.162,146.0915,0.5545,0.1425,0.3686,691,"[645, 645, 633, 655, 676, 691]",734,True,400000,18.5,12.0,Basic
MID_0081,Electronics,Kolkata,1.8,good,174957.42,0.039,0.7468,0.0438,0.008,2.5653,0.3722,0.7388,1.4604,0.0847,2041.672,420.5031,0.7244,0.0405,0.2791,760,"[691, 693, 711, 722, 731, 760]",782,True,1000000,15.0,18.0,Standard
MID_0082,Gym,Pune,1.8,good,188745.02,0.1155,0.8213,0.0784,0.0128,1.6518,0.3561,0.7072,1.2825,0.1152,999.5001,798.0854,0.7324,0.1014,0.2054,784,"[768, 787, 774, 793, 810, 784]",802,True,1000000,15.0,18.0,Standard
MID_0083,Freelancer,Chennai,2.3,average,108137.03,0.0589,0.5648,0.1393,0.0172,2.8016,0.2661,0.5825,1.2075,0.1544,1227.9372,133.4777,0.7022,0.1644,0.4776,714,"[654, 665, 651, 676, 688, 714]",745,True,1000000,15.0,18.0,Standard
MID_0084,Healthcare,Kolkata,1.3,excellent,309901.83,0.1994,0.9225,0.0306,0.0025,1.3741,0.5658,0.8699,1.7833,0.026,4990.3514,1068.988,0.8884,0.0468,0.1129,845,"[803, 819, 825, 824, 813, 845]",883,True,2000000,12.5,24.0,Premium
MID_0085,Pharmacy,Delhi,2.8,poor,13832.58,0.0104,0.499,0.208,0.0249,5.9517,0.1093,0.2384,0.94,0.2584,770.9238,39.3448,0.4432,0.2332,0.6409,604,"[540, 549, 549, 562, 556, 604]",618,True,400000,18.5,12.0,Basic
MID_0086,SaaS,Delhi,6.5,average,78845.34,-0.0003,0.5728,0.1137,0.0173,3.9318,0.2333,0.4655,1.1178,0.1114,657.5804,159.0438,0.5793,0.1808,0.5101,687,"[624, 619, 608, 608, 599, 687]",705,True,400000,18.5,12.0,Basic
MID_0087,SaaS,Kolkata,3.7,average,96799.57,0.0719,0.7361,0.0739,0.0125,2.5777,0.2118,0.5652,1.1858,0.1866,1437.3945,165.9983,0.5832,0.1461,0.4623,716,"[680, 683, 674, 682, 699, 716]",728,True,1000000,15.0,18.0,Standard
MID_0088,Grocery,Hyderabad,4.5,good,238296.31,0.1165,0.8425,0.0575,0.0061,1.2284,0.455,0.7147,1.2834,0.1076,604.0263,603.2862,0.7983,0.1192,0.2205,798,"[785, 788, 787, 805, 807, 798]",823,True,1000000,15.0,18.0,Standard
MID_0089,Clothing,Surat,5.7,poor,42277.55,-0.0443,0.4917,0.222,0.0444,5.4163,0.1484,0.3171,1.0492,0.2036,785.3001,45.7266,0.4817,0.3714,0.6132,616,"[603, 604, 592, 588, 599, 616]",634,True,400000,18.5,12.0,Basic
MID_0090,Clothing,Bangalore,5.8,poor,46281.35,-0.0121,0.4626,0.1951,0.0281,4.2427,0.1342,0.3394,1.12,0.193,460.9294,44.2137,0.5654,0.2664,0.7091,617,"[565, 579, 582, 594, 593, 617]",661,True,400000,18.5,12.0,Basic
MID_0091,Salon,Hyderabad,7.8,poor,33490.55,-0.058,0.4152,0.1912,0.0239,5.5573,0.1746,0.3967,1.0906,0.1864,538.3257,102.8537,0.3537,0.3673,0.5348,632,"[611, 633, 653, 650, 670, 632]",647,True,400000,18.5,12.0,Basic
MID_0092,Freelancer,Pune,2.4,good,387949.17,0.0415,0.7834,0.0453,0.012,1.4683,0.4311,0.6907,1.1005,0.0834,831.7495,258.3336,0.8224,0.0407,0.3391,788,"[733, 721, 721, 735, 724, 788]",817,True,1000000,15.0,18.0,Standard
MID_0093,Electronics,Kolkata,6.3,poor,15526.39,0.0291,0.3829,0.189,0.0203,4.9501,0.1328,0.3589,1.057,0.2012,388.1969,87.0894,0.5478,0.2156,0.5221,642,"[622, 620, 611, 607, 595, 642]",670,True,400000,18.5,12.0,Basic
MID_0094,Healthcare,Mumbai,6.9,average,70793.9,0.0318,0.6519,0.1198,0.0144,2.1091,0.3326,0.59,1.1485,0.1113,849.4573,194.4217,0.6398,0.2173,0.5474,706,"[642, 642, 654, 670, 693, 706]",717,True,1000000,15.0,18.0,Standard
MID_0095,SaaS,Delhi,0.6,good,354535.57,0.1433,0.7837,0.0443,0.0121,2.5342,0.3847,0.6305,1.4203,0.0876,881.7011,158.518,0.7142,0.1137,0.3949,756,"[716, 727, 738, 735, 738, 756]",781,True,1000000,15.0,18.0,Standard
MID_0096,Restaurant,Hyderabad,1.1,average,88201.13,0.0409,0.6119,0.1193,0.0211,2.2389,0.3003,0.5343,1.0491,0.1953,879.907,243.5766,0.6725,0.12,0.3754,703,"[646, 632, 649, 645, 633, 703]",717,True,1000000,15.0,18.0,Standard
