monthly_revenue,revenue_growth_rate,revenue_consistency,refund_rate,chargeback_rate,settlement_velocity_days,customer_repeat_rate,payment_diversity_score,peak_season_ratio,failed_payment_rate,avg_transaction_value,transaction_volume_monthly,dispute_resolution_rate,late_settlement_frequency,revenue_concentration_risk,years_active,credit_score,credit_tier
306942.73,0.0299,0.8213,0.0565,0.0069,2.5525,0.3702,0.7416,1.4227,0.0603,757.0113,279.1778,0.7312,0.0522,0.3518,6.1,781,good
441236.82,0.1106,0.8857,0.0117,0.0046,1.3104,0.563,0.7142,1.8822,0.0231,4429.8501,1739.5281,0.93,0.0303,0.1694,1.6,829,excellent
57520.92,-0.089,0.4986,0.1251,0.0412,5.973,0.1429,0.3342,0.991,0.3085,371.1916,96.3188,0.5061,0.2094,0.6388,6.6,605,poor
290331.29,0.1061,0.7406,0.0654,0.0058,2.1178,0.4287,0.6157,1.1639,0.0992,2867.7716,798.0149,0.8642,0.0475,0.3341,7.4,759,good
127550.99,0.0327,0.6824,0.1301,0.0193,3.1945,0.2062,0.4198,1.2079,0.1625,1373.4528,227.5076,0.5574,0.1437,0.4939,4.3,694,average
66499.04,0.0182,0.6555,0.1373,0.0223,3.6025,0.2035,0.435,1.1924,0.1874,920.903,66.6733,0.6938,0.2021,0.407,7.9,683,average
216792.63,0.0306,0.7559,0.0459,0.006,2.4294,0.3671,0.5792,1.1192,0.1142,1681.1373,681.7773,0.8366,0.0775,0.3231,3.5,745,good
29572.34,-0.0856,0.5582,0.1976,0.0205,4.5461,0.109,0.2316,1.0073,0.2661,268.395,58.7396,0.5028,0.2154,0.7144,3.6,626,poor
317334.71,0.1814,0.8635,0.0275,0.0063,1.1334,0.5381,0.7846,1.75,0.0532,3675.6668,1965.4745,0.9122,0.0173,0.1202,3.2,838,excellent
61932.09,0.0662,0.5596,0.1125,0.0141,3.5987,0.2543,0.468,1.1319,0.1956,640.7476,88.5725,0.6677,0.1441,0.5095,0.8,683,average
106326.27,0.0152,0.5585,0.1296,0.0153,3.9963,0.2267,0.5956,1.2844,0.1075,1028.7663,134.4609,0.6862,0.1815,0.5406,5.0,699,average
313064.92,0.0946,0.8047,0.0499,0.0115,1.4992,0.3227,0.6971,1.3495,0.0771,1904.1818,283.2437,0.7469,0.0757,0.3993,7.6,779,good
69854.7,0.01,0.5815,0.1168,0.0205,2.3482,0.2415,0.4293,1.2955,0.1792,507.757,168.4457,0.6114,0.1687,0.4435,5.8,679,average
108863.34,0.0145,0.7256,0.1224,0.0196,2.3639,0.3443,0.4752,1.2732,0.1055,361.4095,79.784,0.578,0.1387,0.4919,5.3,726,average
92186.39,-0.0029,0.6749,0.1322,0.0151,3.8479,0.187,0.57,1.0244,0.1949,1202.3291,108.8105,0.5858,0.1687,0.4736,5.3,704,average
75870.07,-0.0056,0.7223,0.0855,0.0248,2.6907,0.2478,0.5473,1.1545,0.1106,514.2592,71.8557,0.6264,0.1169,0.3601,3.6,723,average
32587.14,-0.0883,0.4404,0.1794,0.0272,4.75,0.0858,0.2619,1.0494,0.298,570.7644,45.0036,0.3519,0.2193,0.5295,4.0,602,poor
17527.71,-0.2227,0.3938,0.2985,0.0877,6.0345,0.0951,0.2083,0.7597,0.392,225.0273,7.0387,0.1815,0.4499,0.7684,2.6,502,bad
24424.73,0.006,0.4347,0.2076,0.0494,4.7511,0.1756,0.3596,1.072,0.1837,432.2131,116.5424,0.5301,0.3397,0.6271,4.5,617,poor
79976.88,0.0004,0.6504,0.1089,0.0171,3.6968,0.3037,0.5353,1.1556,0.1561,1497.5597,164.3765,0.6141,0.2148,0.4419,3.8,702,average
9276.23,-0.1835,0.2018,0.3762,0.059,6.0928,0.0947,0.2152,0.782,0.3068,286.8178,22.0862,0.3754,0.5955,0.8887,2.2,502,bad
588486.13,0.1674,0.8815,0.0301,0.0047,1.6379,0.4631,0.8033,1.8022,0.024,4037.2174,209.3266,0.9215,0.0472,0.161,5.7,831,excellent
390671.95,0.0429,0.8671,0.0799,0.009,1.9908,0.4873,0.7424,1.563,0.1114,523.1679,497.5733,0.7193,0.1186,0.2569,7.3,778,good
362246.86,0.109,0.9377,0.0158,0.0053,1.6387,0.5514,0.8069,1.5295,0.036,1200.6174,1967.0333,0.9121,0.0474,0.101,5.9,824,excellent
146569.19,0.0688,0.704,0.1152,0.0196,3.8813,0.2425,0.4286,1.2872,0.1478,791.4723,297.0979,0.6135,0.1842,0.5326,1.7,706,average
55467.13,-0.0737,0.4734,0.1414,0.0456,4.3255,0.1616,0.3577,1.0222,0.3058,411.8379,20.8418,0.3803,0.2748,0.6241,1.3,611,poor
761713.88,0.0563,0.9032,0.0331,0.0064,1.9783,0.6115,0.8051,1.995,0.0353,4452.4052,1832.1812,0.8988,0.0373,0.1993,7.5,820,excellent
86829.56,0.0623,0.5995,0.0877,0.0141,3.8748,0.3033,0.4048,1.2428,0.1419,1195.8695,269.7767,0.5527,0.1247,0.3702,5.6,704,average
383921.92,0.0949,0.8124,0.0686,0.0132,1.4738,0.4753,0.7471,1.3606,0.0789,1187.8848,489.7027,0.8065,0.0988,0.235,8.0,786,good
136661.3,0.0101,0.6915,0.1245,0.0237,3.1248,0.3445,0.5026,1.0402,0.1243,464.3378,208.1435,0.7068,0.2017,0.3685,6.2,702,average
9186.85,-0.0409,0.203,0.2475,0.0845,8.4813,0.0803,0.2355,0.9087,0.4348,188.8212,15.7699,0.224,0.4349,0.7666,2.1,489,bad
60774.07,-0.0054,0.6022,0.1348,0.0187,2.8352,0.2059,0.4526,1.114,0.1833,849.0919,210.1981,0.6664,0.1309,0.5143,3.6,693,average
10945.83,0.0063,0.3612,0.1208,0.0241,4.8921,0.0882,0.2332,0.9547,0.2438,142.3151,81.9615,0.5648,0.3643,0.645,4.4,619,poor
257033.2,0.0884,0.9184,0.0345,0.0029,1.3969,0.5433,0.8015,1.6955,0.0596,1748.6005,1431.2749,0.9602,0.0361,0.2287,1.3,809,excellent
7658.41,-0.0427,0.3231,0.3417,0.0563,9.545,0.0748,0.1277,0.8629,0.4248,112.7741,43.2692,0.1536,0.4121,0.686,7.2,518,bad
39745.77,0.0545,0.6192,0.0678,0.0135,2.152,0.2829,0.5151,1.1787,0.1969,624.2896,204.872,0.6832,0.1541,0.3956,6.4,714,average
120621.6,0.0117,0.5713,0.0604,0.0146,2.7198,0.2259,0.4092,1.0562,0.1449,921.162,146.0915,0.5545,0.1425,0.3686,5.8,691,average
174957.42,0.039,0.7468,0.0438,0.008,2.5653,0.3722,0.7388,1.4604,0.0847,2041.672,420.5031,0.7244,0.0405,0.2791,1.8,760,good
188745.02,0.1155,0.8213,0.0784,0.0128,1.6518,0.3561,0.7072,1.2825,0.1152,999.5001,798.0854,0.7324,0.1014,0.2054,1.8,784,good
108137.03,0.0589,0.5648,0.1393,0.0172,2.8016,0.2661,0.5825,1.2075,0.1544,1227.9372,133.4777,0.7022,0.1644,0.4776,2.3,714,average
309901.83,0.1994,0.9225,0.0306,0.0025,1.3741,0.5658,0.8699,1.7833,0.026,4990.3514,1068.988,0.8884,0.0468,0.1129,1.3,845,excellent
13832.58,0.0104,0.499,0.208,0.0249,5.9517,0.1093,0.2384,0.94,0.2584,770.9238,39.3448,0.4432,0.2332,0.6409,2.8,604,poor
78845.34,-0.0003,0.5728,0.1137,0.0173,3.9318,0.2333,0.4655,1.1178,0.1114,657.5804,159.0438,0.5793,0.1808,0.5101,6.5,687,average
96799.57,0.0719,0.7361,0.0739,0.0125,2.5777,0.2118,0.5652,1.1858,0.1866,1437.3945,165.9983,0.5832,0.1461,0.4623,3.7,716,average
238296.31,0.1165,0.8425,0.0575,0.0061,1.2284,0.455,0.7147,1.2834,0.1076,604.0263,603.2862,0.7983,0.1192,0.2205,4.5,798,good
42277.55,-0.0443,0.4917,0.222,0.0444,5.4163,0.1484,0.3171,1.0492,0.2036,785.3001,45.7266,0.4817,0.3714,0.6132,5.7,616,poor
46281.35,-0.0121,0.4626,0.1951,0.0281,4.2427,0.1342,0.3394,1.12,0.193,460.9294,44.2137,0.5654,0.2664,0.7091,5.8,617,poor
33490.55,-0.058,0.4152,0.1912,0.0239,5.5573,0.1746,0.3967,1.0906,0.1864,538.3257,102.8537,0.3537,0.3673,0.5348,7.8,632,poor
387949.17,0.0415,0.7834,0.0453,0.012,1.4683,0.4311,0.6907,1.1005,0.0834,831.7495,258.3336,0.8224,0.0407,0.3391,2.4,788,good
15526.39,0.0291,0.3829,0.189,0.0203,4.9501,0.1328,0.3589,1.057,0.2012,388.1969,87.0894,0.5478,0.2156,0.5221,6.3,642,poor
70793.9,0.0318,0.6519,0.1198,0.0144,2.1091,0.3326,0.59,1.1485,0.1113,849.4573,194.4217,0.6398,0.2173,0.5474,6.9,706,average
354535.57,0.1433,0.7837,0.0443,0.0121,2.5342,0.3847,0.6305,1.4203,0.0876,881.7011,158.518,0.7142,0.1137,0.3949,0.6,756,good
88201.13,0.0409,0.6119,0.1193,0.0211,2.2389,0.3003,0.5343,1.0491,0.1953,879.907,243.5766,0.6725,0.12,0.3754,1.1,703,average
760774.42,0.0834,0.8705,0.0332,0.0073,1.6741,0.4788,0.8852,1.3018,0.0543,851.6099,282.7668,0.8973,0.0468,0.1268,4.3,798,excellent
34824.73,0.0023,0.6532,0.0637,0.016,3.754,0.3272,0.5502,1.0932,0.1086,793.77,135.919,0.5996,0.1941,0.4979,1.4,703,average
108351.07,-0.019,0.617,0.1207,0.0156,3.4762,0.2323,0.4251,1.2949,0.142,1449.5406,292.8654,0.5742,0.1336,0.3588,4.6,702,average
144914.84,0.0037,0.6022,0.0852,0.022,3.4015,0.305,0.45,1.0816,0.1075,463.5264,242.7836,0.6494,0.1186,0.3829,4.8,699,average
23601.83,-0.0881,0.4071,0.1662,0.0354,5.0316,0.1112,0.4179,0.9078,0.2366,416.5408,93.5482,0.4075,0.2832,0.6769,0.8,591,poor
702999.01,0.1387,0.8667,0.0372,0.0068,1.3315,0.4607,0.8152,1.4176,0.043,4251.0787,910.9976,0.8538,0.0373,0.1259,0.7,803,excellent
197915.77,0.1035,0.8476,0.0425,0.0149,2.0873,0.3039,0.6265,1.4567,0.0836,2453.5878,340.8239,0.8018,0.0657,0.2541,1.2,772,good
254454.6,0.1229,0.8379,0.0682,0.0145,2.1514,0.4965,0.6277,1.5676,0.1194,934.2801,265.5858,0.7572,0.099,0.2718,2.4,780,good
317903.08,0.0938,0.9184,0.01,0.0074,1.2015,0.4826,0.8792,1.9431,0.0538,2159.073,239.4432,0.9263,0.0467,0.2162,4.2,830,excellent
16637.5,-0.2099,0.3922,0.3734,0.0957,8.722,0.0379,0.1801,0.7526,0.3475,290.9745,10.7307,0.3176,0.6346,0.8872,6.4,485,bad
409037.07,0.0418,0.8617,0.0344,0.0121,2.2782,0.4773,0.6393,1.2326,0.0675,669.487,279.6606,0.7194,0.0401,0.2772,6.1,789,good
22084.47,-0.0586,0.5689,0.1296,0.0251,4.1264,0.1678,0.3204,1.1245,0.193,515.8214,79.4327,0.461,0.2056,0.7073,1.1,654,poor
423864.06,0.1599,0.9138,0.0116,0.001,1.0876,0.656,0.8563,1.6362,0.0239,1669.2025,1348.7432,0.977,0.0289,0.1173,2.7,847,excellent
165271.42,0.028,0.8404,0.0634,0.0059,1.6876,0.4083,0.7441,1.3949,0.0888,2601.9929,672.8837,0.7754,0.0828,0.3734,4.0,786,good
23682.11,-0.0641,0.1815,0.3058,0.0993,6.6124,0.0998,0.1866,0.9502,0.3367,368.7816,46.1378,0.1654,0.4664,0.7493,1.8,478,bad
4237.0,-0.2257,0.3449,0.3964,0.092,9.2808,0.0902,0.1249,0.8964,0.4058,215.5663,12.749,0.2427,0.5355,0.8202,4.9,460,bad
42732.45,0.0264,0.4024,0.1591,0.0423,5.3221,0.1185,0.3603,1.0512,0.1925,409.2016,110.9104,0.4436,0.2872,0.6136,6.8,600,poor
213892.8,0.1393,0.8327,0.0437,0.0132,2.0103,0.4271,0.5748,1.1153,0.0761,1985.109,224.3086,0.8567,0.087,0.27,6.8,792,good
206871.28,0.0226,0.8448,0.0684,0.0051,2.823,0.4295,0.6702,1.1042,0.0677,2512.7139,313.8218,0.8741,0.0914,0.2848,5.6,772,good
117536.77,0.0283,0.8781,0.062,0.0136,1.5223,0.4422,0.7285,1.2494,0.0605,2413.686,729.7809,0.845,0.1042,0.32,5.1,786,good
89240.13,0.0741,0.6217,0.084,0.0125,3.3152,0.2749,0.4446,1.1412,0.1741,1142.7426,185.3482,0.7051,0.2136,0.5299,5.6,698,average
139105.68,-0.0129,0.7279,0.1,0.023,2.7633,0.2307,0.3919,1.2563,0.1137,460.3856,146.3899,0.6468,0.2088,0.4415,7.0,705,average
12072.66,-0.0201,0.4957,0.1724,0.049,4.1499,0.0845,0.2439,0.9933,0.182,325.5492,102.489,0.3938,0.3218,0.6379,4.2,610,poor
356378.74,0.1494,0.7748,0.0751,0.0086,1.3769,0.4896,0.7336,1.3017,0.066,2317.9221,191.844,0.8321,0.0872,0.2338,5.0,796,good
239374.02,0.0817,0.7445,0.0648,0.0113,1.6022,0.4323,0.6825,1.235,0.0924,842.9088,681.4569,0.7189,0.0975,0.2235,3.6,756,good
84370.64,0.0035,0.5525,0.0671,0.0117,3.1483,0.264,0.5889,1.2339,0.1075,1140.6491,275.2426,0.6595,0.1548,0.5455,7.3,693,average
182372.74,0.0769,0.8195,0.0739,0.0059,2.6299,0.3366,0.6302,1.5812,0.069,1464.2887,695.4701,0.844,0.0919,0.3594,5.5,774,good
127613.01,0.068,0.6955,0.1313,0.0172,2.9762,0.3309,0.477,1.019,0.1655,216.0683,265.7664,0.6392,0.1892,0.4948,6.3,724,average
31117.01,0.0734,0.6511,0.0975,0.0174,2.3308,0.3077,0.4505,1.0993,0.1278,859.0081,183.1288,0.6144,0.1981,0.3658,7.2,716,average
561481.44,0.1738,0.8896,0.0253,0.0024,1.6715,0.6876,0.7908,1.338,0.0289,2708.7319,1208.2715,0.9306,0.0289,0.1986,0.5,824,excellent
49532.15,-0.0468,0.4085,0.1455,0.0236,5.5566,0.1059,0.3814,0.9476,0.2273,630.0045,19.8825,0.4956,0.321,0.5271,4.2,622,poor
18785.32,-0.2101,0.3538,0.2259,0.0795,7.637,0.0457,0.2298,0.8256,0.414,292.3804,16.1707,0.2415,0.4529,0.7235,6.4,490,bad
67442.2,0.0145,0.6845,0.1385,0.0198,3.9167,0.2657,0.5327,1.0967,0.1115,657.9091,164.8962,0.647,0.1801,0.4335,2.0,713,average
49064.22,-0.0138,0.7069,0.0763,0.0181,2.7174,0.2569,0.5155,1.2027,0.1562,491.5996,208.2511,0.6161,0.1613,0.5094,7.9,711,average
29148.92,-0.0707,0.4958,0.2122,0.031,4.7652,0.1686,0.2432,1.0812,0.2071,414.1704,118.2626,0.3671,0.3732,0.6617,7.0,594,poor
43004.65,0.0096,0.4193,0.2227,0.0365,3.2186,0.1649,0.3156,1.1392,0.2529,650.3808,31.7339,0.4749,0.2726,0.5769,5.0,628,poor
14938.98,-0.1071,0.3897,0.3706,0.0593,9.4956,0.0956,0.1456,0.8621,0.3422,368.9676,41.9949,0.2362,0.5908,0.7614,3.8,519,bad
42980.62,0.0338,0.6905,0.1381,0.0216,3.2931,0.3398,0.5443,1.0461,0.1459,631.23,62.7554,0.5592,0.1953,0.4616,7.0,695,average
25727.82,-0.0346,0.4167,0.2092,0.0382,3.8446,0.1912,0.2839,1.1055,0.1843,209.4264,38.0859,0.5218,0.3434,0.6869,0.8,621,poor
78121.97,0.0348,0.567,0.0768,0.0211,3.4519,0.216,0.5792,1.2554,0.1142,439.1905,200.3901,0.593,0.1138,0.4842,0.8,684,average
116113.63,0.1052,0.736,0.061,0.014,1.6356,0.3901,0.6733,1.2528,0.0909,1913.88,355.1454,0.7569,0.0743,0.201,4.2,759,good
543430.31,0.0664,0.8865,0.0348,0.0072,1.1964,0.6334,0.8567,1.8092,0.0557,4368.2665,1336.9277,0.9556,0.0332,0.2154,4.2,809,excellent
358091.25,0.0521,0.8811,0.0389,0.0079,1.6842,0.6393,0.7351,1.4115,0.0427,3176.4126,1769.9513,0.869,0.0393,0.2409,4.3,816,excellent
41748.43,0.0768,0.6767,0.0819,0.0211,3.1573,0.2769,0.4629,1.1136,0.1588,1367.6946,60.2377,0.5928,0.2167,0.3946,0.8,715,average
199971.89,0.1132,0.7389,0.0415,0.0131,2.4405,0.3963,0.6458,1.2054,0.0613,2583.4125,115.7122,0.7078,0.0859,0.2322,2.1,750,good
268747.35,0.0813,0.7971,0.041,0.0091,1.2854,0.4165,0.7035,1.4116,0.0858,919.3043,579.9138,0.866,0.0877,0.2138,7.6,774,good
470059.8,0.0761,0.9285,0.0348,0.0073,1.7749,0.6123,0.8305,1.5593,0.0217,3025.2294,613.0753,0.9543,0.0416,0.1572,4.3,833,excellent
295905.76,0.1226,0.8125,0.0359,0.0051,2.3091,0.4376,0.6132,1.2811,0.0608,2128.9398,277.5429,0.8539,0.0739,0.2731,3.6,791,good
130229.47,0.1323,0.7391,0.0415,0.0128,2.8985,0.3201,0.6517,1.493,0.1061,2035.0634,579.1951,0.7094,0.0711,0.3272,6.3,764,good
3404.04,-0.0721,0.1938,0.3236,0.0406,9.1034,0.0945,0.1681,0.7584,0.4525,228.6917,36.4302,0.2915,0.5522,0.7399,2.6,527,bad
37152.74,-0.0242,0.4299,0.226,0.0268,5.8892,0.1346,0.2889,0.9012,0.2045,454.3667,73.6562,0.4657,0.2612,0.5257,4.6,610,poor
54927.98,-0.0373,0.4093,0.1697,0.0437,3.6611,0.1641,0.376,1.0031,0.2294,474.9563,88.5859,0.4106,0.2517,0.5878,5.6,611,poor
160058.8,0.0498,0.8536,0.0718,0.0086,2.5579,0.324,0.5657,1.5779,0.0845,516.5592,699.9625,0.8724,0.1078,0.2742,2.3,777,good
95629.48,0.0302,0.6287,0.1149,0.0126,3.953,0.2987,0.4812,1.2068,0.1012,473.9781,191.0621,0.6053,0.1735,0.4019,6.5,698,average
525757.04,0.0957,0.863,0.0181,0.0027,1.4322,0.5452,0.7365,1.9714,0.026,4183.8071,517.8931,0.9149,0.0498,0.2274,1.8,821,excellent
195116.64,0.0928,0.8691,0.0429,0.0052,1.2425,0.4735,0.7426,1.1995,0.0903,2122.8274,222.1772,0.8405,0.0684,0.3346,3.9,803,good
10816.38,-0.0789,0.4025,0.1612,0.0287,3.8024,0.1574,0.2597,1.0112,0.3008,354.2154,76.6266,0.5721,0.2745,0.5405,4.8,629,poor
315714.93,0.0308,0.762,0.0378,0.0115,2.7709,0.3619,0.5995,1.2421,0.0939,828.1928,686.9624,0.7051,0.0931,0.3721,0.7,746,good
93932.68,0.0709,0.6463,0.0782,0.0113,2.6157,0.2501,0.4143,1.0032,0.1523,1185.7815,75.4381,0.5987,0.1642,0.4876,3.8,716,average
39173.38,0.0077,0.4007,0.1303,0.0388,4.5498,0.176,0.3349,1.0735,0.2181,553.9199,70.8541,0.4118,0.2338,0.5151,2.4,612,poor
427483.87,0.0516,0.8617,0.0104,0.0025,1.4202,0.6464,0.8246,1.56,0.0479,933.2959,344.4016,0.9476,0.0158,0.14,2.6,827,excellent
6434.17,-0.0809,0.1735,0.3665,0.0525,6.3347,0.0969,0.2392,0.7476,0.4402,310.6536,29.7311,0.1781,0.4944,0.7247,2.4,498,bad
619790.65,0.1451,0.9275,0.0211,0.0016,1.1577,0.4729,0.8547,1.9516,0.0599,3425.5558,307.5952,0.9338,0.0381,0.2187,0.6,819,excellent
613363.01,0.1618,0.9206,0.0247,0.005,1.5436,0.5309,0.8171,1.9074,0.0439,4414.3556,488.6181,0.919,0.028,0.2229,2.4,824,excellent
71587.72,0.0324,0.6495,0.1041,0.0192,2.6452,0.289,0.4043,1.157,0.1067,1285.7514,73.7413,0.6985,0.1242,0.4471,5.4,712,average
21203.69,-0.1423,0.3097,0.2902,0.0846,9.3426,0.0858,0.215,0.7175,0.4157,235.1573,38.0435,0.3419,0.3734,0.704,5.4,486,bad
109383.18,0.0503,0.6354,0.0683,0.0219,3.0999,0.2658,0.5247,1.1602,0.16,1413.576,274.6461,0.6435,0.2196,0.519,6.2,705,average
174507.73,0.1069,0.8521,0.0141,0.0072,1.0066,0.6961,0.7537,1.5204,0.0509,4762.0612,1680.2074,0.9695,0.0305,0.1856,7.7,815,excellent
